""	"Treatment"	"Family"	"Species"	"N"	"Proportion"	"sd"	"se"	"ci"
"38"	"Hypoxia plots"	"Francisellaceae"	"Siderastrea siderea"	15	0.00200134824065421	0.00212763858049407	0.000549353919266795	0.00117824697299889
"39"	"Hypoxia plots"	"Shewanellaceae"	"Agaricia lamarcki"	13	0.0113361641313664	0.0122393983953154	0.00339459834578011	0.00739619442735285
"40"	"Hypoxia plots"	"Shewanellaceae"	"Siderastrea siderea"	15	0.0118333384518384	0.012563585312139	0.00324390377883804	0.00695748164173809
"41"	"Hypoxia plots"	"Halomonadaceae"	"Agaricia lamarcki"	13	0.00366063278927023	0.00664925533033512	0.00184417161824427	0.00401810478193879
"42"	"Hypoxia plots"	"Halomonadaceae"	"Siderastrea siderea"	15	0.00474667588419576	0.00728419750843648	0.00188077170937734	0.00403385412528493
"43"	"Hypoxia plots"	"Midichloriaceae"	"Agaricia lamarcki"	13	0.0101568621935866	0.0121703078739725	0.00337543608290699	0.00735444344315945
"44"	"Hypoxia plots"	"Midichloriaceae"	"Siderastrea siderea"	15	0.0161650636645221	0.0189977537402485	0.00490519892342214	0.0105206053525445
"45"	"Hypoxia plots"	"Desulfovibrionaceae"	"Agaricia lamarcki"	13	0.0490915735542881	0.0823195374583987	0.0228313317906719	0.0497451986239053
"46"	"Hypoxia plots"	"Desulfovibrionaceae"	"Siderastrea siderea"	15	0.0497892913663436	0.0825196891517794	0.0213064921212703	0.0456978806679261
"47"	"Hypoxia plots"	"Cellvibrionales"	"Agaricia lamarcki"	13	0.000168849856643833	0.000334248546345735	9.27038671229884e-05	0.000201984375047333
"48"	"Hypoxia plots"	"Cellvibrionales"	"Siderastrea siderea"	15	9.63091470901799e-05	0.000258793356966196	6.68201574426126e-05	0.000143314984167487
"49"	"Untreated"	"Family_XII"	"Agaricia lamarcki"	3	0	0	0	0
"50"	"Untreated"	"Family_XII"	"Siderastrea siderea"	6	3.47990701688451e-05	8.52399654369781e-05	3.47990701688451e-05	8.94538576730667e-05
"51"	"Untreated"	"Marinifilaceae"	"Agaricia lamarcki"	3	0.000129769011160135	0.000224766520577326	0.000129769011160135	0.000558350990105043
"52"	"Untreated"	"Marinifilaceae"	"Siderastrea siderea"	6	4.19002606196211e-05	0.000102634258607704	4.19002606196211e-05	0.000107708048857225
"53"	"Untreated"	"Parvibaculaceae"	"Agaricia lamarcki"	3	0.000289645184648805	0.0005016801759794	0.000289645184648805	0.00124624264438797
"54"	"Untreated"	"Parvibaculaceae"	"Siderastrea siderea"	6	0.000706882634934294	0.000658930452397162	0.000269007230725721	0.000691505100958366
"55"	"Untreated"	"Pseudomonadaceae"	"Agaricia lamarcki"	3	0.000617289103041278	0.000733015806652847	0.000423206873291272	0.00182091220861543
"56"	"Untreated"	"Pseudomonadaceae"	"Siderastrea siderea"	6	0	0	0	0
"57"	"Untreated"	"Marinobacteraceae"	"Agaricia lamarcki"	3	0	0	0	0
"58"	"Untreated"	"Marinobacteraceae"	"Siderastrea siderea"	6	0	0	0	0
"59"	"Untreated"	"Nitrincolaceae"	"Agaricia lamarcki"	3	0.00613886976288967	0.0022854326875768	0.00131949517738723	0.00567732952687643
"60"	"Untreated"	"Nitrincolaceae"	"Siderastrea siderea"	6	0.00225155340979076	0.00112654374254132	0.000459909557025254	0.00118223515332466
"61"	"Untreated"	"Francisellaceae"	"Agaricia lamarcki"	3	0.0128683067816751	0.0158459053508108	0.00914863771984396	0.0393634110587755
"62"	"Untreated"	"Francisellaceae"	"Siderastrea siderea"	6	0.0113595452373098	0.00563305837665169	0.0022996864523512	0.0059115322220729
"63"	"Untreated"	"Shewanellaceae"	"Agaricia lamarcki"	3	0.000403624284511902	0.000425932178145496	0.000245912057708826	0.00105807418637919
"64"	"Untreated"	"Shewanellaceae"	"Siderastrea siderea"	6	0.000838698181346371	0.000968387927397263	0.000395342715865776	0.00101626080425569
"65"	"Untreated"	"Halomonadaceae"	"Agaricia lamarcki"	3	0.000389307033480405	0.000674299561731979	0.000389307033480405	0.00167505297031513
"66"	"Untreated"	"Halomonadaceae"	"Siderastrea siderea"	6	0.000147834721299554	0.000205670014692407	8.39644318978529e-05	0.000215837443476143
"67"	"Untreated"	"Midichloriaceae"	"Agaricia lamarcki"	3	0.0740924062767394	0.0156154813506172	0.0090156023613044	0.0387910061102021
"68"	"Untreated"	"Midichloriaceae"	"Siderastrea siderea"	6	0.0960904431196333	0.0514237855976315	0.0209936725594133	0.0539659533445243
"69"	"Untreated"	"Desulfovibrionaceae"	"Agaricia lamarcki"	3	0.000852953119472991	0.000826633140028507	0.000477256865916524	0.00205347055692741
"70"	"Untreated"	"Desulfovibrionaceae"	"Siderastrea siderea"	6	0.000734837329014722	0.000726322172023528	0.000296519785054605	0.000762228373368152
"71"	"Untreated"	"Cellvibrionales"	"Agaricia lamarcki"	3	0.00119700809424145	0.000376640912401532	0.000217453732162851	0.000935627894284698
"72"	"Untreated"	"Cellvibrionales"	"Siderastrea siderea"	6	0.000567178837278748	0.000475037492812388	0.000193933244346897	0.000498521275244152
