""	"Species"	"Logger.MiniDOT"	"Family"	"N"	"Proportion"	"sd"	"se"	"ci"
"43"	"Agaricia lamarcki"	"2"	"Marinobacteraceae"	3	0	0	0	0
"44"	"Agaricia lamarcki"	"2"	"Pseudomonadaceae"	3	4.125667842482e-05	7.1458663183319e-05	4.125667842482e-05	0.000177513160044948
"45"	"Agaricia lamarcki"	"2"	"Halomonadaceae"	3	0.0001993279799533	0.000345246188649187	0.0001993279799533	0.000857639077061514
"46"	"Agaricia lamarcki"	"2"	"Acholeplasmataceae"	3	0.000184008589156017	0.000162821208903329	9.40048687901173e-05	0.000404470305309538
"47"	"Agaricia lamarcki"	"2"	"Shewanellaceae"	3	0.00163861498734743	0.00189903231234104	0.0010964068167299	0.00471745778291881
"48"	"Agaricia lamarcki"	"2"	"Nitrincolaceae"	3	0.00368969871047314	0.00101025657411157	0.000583271905013904	0.00250961645429424
"49"	"Agaricia lamarcki"	"2"	"Rhodospirillales"	3	0.000113901702830457	0.000197283536370964	0.000113901702830457	0.000490079472606579
"50"	"Agaricia lamarcki"	"2"	"Arcobacteraceae"	3	0.00750571993260754	0.00612793445240496	0.00353796460567239	0.0152226330683533
"51"	"Agaricia lamarcki"	"2"	"Marinifilaceae"	3	0.00172987505972235	8.44743505897733e-05	4.87712890526245e-05	0.000209845919975675
"52"	"Agaricia lamarcki"	"2"	"Clostridiaceae_1"	3	6.188501763723e-05	0.000107187994774978	6.188501763723e-05	0.000266269740067421
"53"	"Agaricia lamarcki"	"2"	"Izimaplasmatales"	3	0.000353716130918537	0.000308376642945282	0.000178041337816252	0.000766050048163342
"54"	"Agaricia lamarcki"	"2"	"Marinilabiliaceae"	3	0.0002062833921241	0.000357293315916595	0.0002062833921241	0.000887565800224738
"55"	"Agaricia lamarcki"	"2"	"Prolixibacteraceae"	3	0.00212182645023254	0.00114465566881512	0.000660867258519841	0.00284348231387244
"56"	"Agaricia lamarcki"	"2"	"Mollicutes_RF39"	3	0	0	0	0
"57"	"Agaricia lamarcki"	"2"	"Bacteroidales"	3	0.00187370116224391	0.00299015041922427	0.00172636414945661	0.00742794542020108
"58"	"Agaricia lamarcki"	"2"	"Desulfovibrionaceae"	3	0.00260375305180442	0.00135558122415094	0.000782645184671947	0.00336745044025403
"59"	"Agaricia lamarcki"	"2"	"MSBL8"	3	0	0	0	0
"60"	"Agaricia lamarcki"	"2"	"Francisellaceae"	3	0.00105660967463052	0.000423039576216751	0.000244242013206606	0.00105088856484291
"61"	"Agaricia lamarcki"	"2"	"Family_XIII"	3	0	0	0	0
"62"	"Agaricia lamarcki"	"2"	"Spirochaetaceae"	3	0.00248723693087979	0.000732038116394709	0.000422642403557552	0.00181848349137477
"63"	"Agaricia lamarcki"	"2"	"Clostridiaceae"	3	0.000675537239538734	0.000963670153494794	0.000556375222530227	0.00239388936998465
"64"	"Agaricia lamarcki"	"2"	"Clostridiales"	3	0.000113455865668255	0.000196511323754127	0.000113455865668255	0.000488161190123606
"65"	"Agaricia lamarcki"	"2"	"Desulfobacteraceae"	3	0.00999152461118693	0.00706640167292659	0.00407978890806619	0.0175539148820926
"66"	"Agaricia lamarcki"	"2"	"Clostridiaceae_4"	3	8.251335684964e-05	0.000142917326366638	8.251335684964e-05	0.000355026320089895
"67"	"Agaricia lamarcki"	"2"	"Lachnospiraceae"	3	0.000570068074919467	0.00050984165827051	0.000294357218646564	0.0012665168903311
"68"	"Agaricia lamarcki"	"2"	"Firmicutes"	3	0	0	0	0
"69"	"Agaricia lamarcki"	"2"	"Midichloriaceae"	3	0.0198512210873621	0.00279309464603453	0.00161259394576014	0.00693843174270232
"70"	"Agaricia lamarcki"	"2"	"Peptostreptococcaceae"	3	0.00028879674897374	0.000500210642283233	0.00028879674897374	0.00124259212031463
"71"	"Agaricia lamarcki"	"2"	"Bacteroidetes_BD2-2"	3	0.00180061006639979	0.00104608503574822	0.000603957476984473	0.00259861928699984
"72"	"Agaricia lamarcki"	"2"	"Fusobacteriaceae"	3	0.00336634782563917	0.00370475957812293	0.00213894393971212	0.0092031329809834
"73"	"Agaricia lamarcki"	"2"	"Izimaplasmataceae"	3	5.39112620626449e-05	9.33770449926615e-05	5.39112620626449e-05	0.000231961438878078
"74"	"Agaricia lamarcki"	"2"	"Desulfobulbaceae"	3	0.00246338149408009	0.000838164267854181	0.000483914365670737	0.00208211546641818
"75"	"Agaricia lamarcki"	"2"	"OPB56"	3	0	0	0	0
"76"	"Agaricia lamarcki"	"2"	"Defluviitaleaceae"	3	5.69508514152287e-05	9.86417681854819e-05	5.69508514152287e-05	0.00024503973630329
"77"	"Agaricia lamarcki"	"2"	"Melioribacteraceae"	3	7.2199187243435e-05	0.000125052660570808	7.2199187243435e-05	0.000310648030078658
"78"	"Agaricia lamarcki"	"2"	"P.palmC41"	3	8.08668930939673e-05	0.000140065567488992	8.08668930939673e-05	0.000347942158317117
"79"	"Agaricia lamarcki"	"2"	"Vibrionaceae"	3	0.0263923816110791	0.00970220634864389	0.00560157144712285	0.0241016166778498
"80"	"Agaricia lamarcki"	"2"	"Colwelliaceae"	3	0.00920014802358921	0.00635572199086452	0.00366947780232006	0.0157884886829074
"81"	"Agaricia lamarcki"	"3"	"Family_XII"	3	0.252296201492762	0.107498217909715	0.0620641250475787	0.267040377055477
"82"	"Agaricia lamarcki"	"3"	"JTB215"	3	3.0706047172165e-05	5.31844338017964e-05	3.0706047172165e-05	0.000132117457685131
"83"	"Agaricia lamarcki"	"3"	"Marinobacteraceae"	3	0	0	0	0
"84"	"Agaricia lamarcki"	"3"	"Pseudomonadaceae"	3	0	0	0	0
"85"	"Agaricia lamarcki"	"3"	"Halomonadaceae"	3	0.000819938960381218	0.000618866823292285	0.000357302927020329	0.00153735041429149
"86"	"Agaricia lamarcki"	"3"	"Acholeplasmataceae"	3	0	0	0	0
"87"	"Agaricia lamarcki"	"3"	"Shewanellaceae"	3	0.0101071393463523	0.00362503924805467	0.00209291738568732	0.00900509670266766
"88"	"Agaricia lamarcki"	"3"	"Nitrincolaceae"	3	0.0263806645505458	0.0145728719560644	0.00841365154669973	0.0362010207945684
"89"	"Agaricia lamarcki"	"3"	"Rhodospirillales"	3	0.00519988911711341	0.00512836787152737	0.00296086457112975	0.0127395720293899
"90"	"Agaricia lamarcki"	"3"	"Arcobacteraceae"	3	0.0852387453442202	0.0460435408875611	0.0265832507258769	0.114378496301309
"91"	"Agaricia lamarcki"	"3"	"Marinifilaceae"	3	0.0592797436168996	0.0227170100397784	0.0131156718616495	0.0564321813380244
"92"	"Agaricia lamarcki"	"3"	"Clostridiaceae_1"	3	0.0077614881098984	0.00680996950035554	0.00393173772420341	0.0169169020517027
"93"	"Agaricia lamarcki"	"3"	"Izimaplasmatales"	3	0.000887611678803676	0.000333229282405475	0.000192390015898667	0.00082778742708294
"94"	"Agaricia lamarcki"	"3"	"Marinilabiliaceae"	3	0.039788421323773	0.0163809704077147	0.00945755767448139	0.0406925863448703
"95"	"Agaricia lamarcki"	"3"	"Prolixibacteraceae"	3	0.0613923279110238	0.0127443452263358	0.00735795114707049	0.031658708588306
"96"	"Agaricia lamarcki"	"3"	"Mollicutes_RF39"	3	0.00225349897504855	0.00135865547511375	0.000784420104292882	0.00337508730300613
"97"	"Agaricia lamarcki"	"3"	"Bacteroidales"	3	0.0318509829580545	0.0098183312162855	0.00566861617071534	0.0243900868408303
"98"	"Agaricia lamarcki"	"3"	"Desulfovibrionaceae"	3	0.180754909334134	0.0768313763460789	0.0443586158156181	0.190859719426977
"99"	"Agaricia lamarcki"	"3"	"MSBL8"	3	0.00149719093008173	0.00119570958350645	0.000690343249910063	0.00297030726868965
"100"	"Agaricia lamarcki"	"3"	"Francisellaceae"	3	0	0	0	0
"101"	"Agaricia lamarcki"	"3"	"Family_XIII"	3	0.000105683094784928	9.15635357676677e-05	5.28642320234169e-05	0.000227456432221664
"102"	"Agaricia lamarcki"	"3"	"Spirochaetaceae"	3	0.00129476944879297	0.000569120422847582	0.000328581829332365	0.00141377350492297
"103"	"Agaricia lamarcki"	"3"	"Clostridiaceae"	3	0.0102994980259216	0.00603046432930578	0.00348169020386313	0.0149805038597937
"104"	"Agaricia lamarcki"	"3"	"Clostridiales"	3	0.0114776451376107	0.00395621568271446	0.00228412218938742	0.00982778457324908
"105"	"Agaricia lamarcki"	"3"	"Desulfobacteraceae"	3	0.0214180501181492	0.00496899014286328	0.00286884779658271	0.0123436558032023
"106"	"Agaricia lamarcki"	"3"	"Clostridiaceae_4"	3	0.00408481686185831	0.00151121481802774	0.000872500281991669	0.00375406572001863
"107"	"Agaricia lamarcki"	"3"	"Lachnospiraceae"	3	0.00429926346875188	0.00150270149797243	0.000867585114366036	0.00373291746061702
"108"	"Agaricia lamarcki"	"3"	"Firmicutes"	3	0.00281453812043933	0.00186988756891256	0.001079580091266	0.00464505822666883
"109"	"Agaricia lamarcki"	"3"	"Midichloriaceae"	3	0.000323312715446721	0.000279964120182152	0.000161637360150602	0.000695469428881487
"110"	"Agaricia lamarcki"	"3"	"Peptostreptococcaceae"	3	0.0151364790761009	0.00520334036877219	0.00300414996259587	0.0129258140371399
"111"	"Agaricia lamarcki"	"3"	"Bacteroidetes_BD2-2"	3	0.00677751925046896	0.00761027425222364	0.0043937938881282	0.0189049692667113
"112"	"Agaricia lamarcki"	"3"	"Fusobacteriaceae"	3	0.0237950854585337	0.0127527311072983	0.00736279273770162	0.0316795402714514
"113"	"Agaricia lamarcki"	"3"	"Izimaplasmataceae"	3	4.98973266547681e-05	8.64247049279191e-05	4.98973266547681e-05	0.000214690868738338
"114"	"Agaricia lamarcki"	"3"	"Desulfobulbaceae"	3	0.00395563856797186	0.000613048845226287	0.000353943915817786	0.00152289775557161
"115"	"Agaricia lamarcki"	"3"	"OPB56"	3	0.00110916246892586	0.000675460471249152	0.00038997728490265	0.00167793682942667
"116"	"Agaricia lamarcki"	"3"	"Defluviitaleaceae"	3	0.00542348417834472	0.00535220562046395	0.00309009735573309	0.0132956158228366
"117"	"Agaricia lamarcki"	"3"	"Melioribacteraceae"	3	0.000165522493512997	6.87009341153615e-05	3.96645028050827e-05	0.000170662581268444
"118"	"Agaricia lamarcki"	"3"	"P.palmC41"	3	0.000639446197489599	0.000810588450297802	0.000467993459981438	0.00201361333809403
"119"	"Agaricia lamarcki"	"3"	"Vibrionaceae"	3	0.0576148656622018	0.0162767065343327	0.00939736089911754	0.0404335805250289
"120"	"Agaricia lamarcki"	"3"	"Colwelliaceae"	3	0.0103274915277987	0.00535577170015268	0.00309215623280133	0.0133044744558745
"121"	"Agaricia lamarcki"	"4"	"Family_XII"	3	0.00191059829618848	0.0015019849154557	0.000867171395257107	0.00373113737096364
"122"	"Agaricia lamarcki"	"4"	"JTB215"	3	0	0	0	0
"123"	"Agaricia lamarcki"	"4"	"Marinobacteraceae"	3	0.000328224459249637	0.000298208303083665	0.000172170644059936	0.000740790491647205
"124"	"Agaricia lamarcki"	"4"	"Pseudomonadaceae"	3	0.00663750103736816	0.00538015648685355	0.00310623479596721	0.0133650496241111
"125"	"Agaricia lamarcki"	"4"	"Halomonadaceae"	3	0.00229204002693143	0.00151584346335988	0.000875172631620162	0.00376556391244251
"126"	"Agaricia lamarcki"	"4"	"Acholeplasmataceae"	3	6.47224056023714e-05	0.000112102494891388	6.47224056023714e-05	0.000278478035140995
"127"	"Agaricia lamarcki"	"4"	"Shewanellaceae"	3	0.00252006340796561	0.000615131646493671	0.000355146421690179	0.001528071720746
"128"	"Agaricia lamarcki"	"4"	"Nitrincolaceae"	3	0.0129296086239294	0.00796472717123489	0.00459843737633439	0.0197854791298671
"129"	"Agaricia lamarcki"	"4"	"Rhodospirillales"	3	0.0013506415969735	0.00142213210729209	0.000821068354968298	0.00353277199881525
"130"	"Agaricia lamarcki"	"4"	"Arcobacteraceae"	3	0.0109777331388251	0.00749012809274287	0.00432442747060987	0.0186065096610231
"131"	"Agaricia lamarcki"	"4"	"Marinifilaceae"	3	0.000689241343325258	0.000766359719448709	0.000442457990319798	0.00190374307984894
"132"	"Agaricia lamarcki"	"4"	"Clostridiaceae_1"	3	0.000518672057411838	0.000620792927280494	0.000358414963676409	0.00154213512184536
"133"	"Agaricia lamarcki"	"4"	"Izimaplasmatales"	3	5.17779244818971e-05	8.96819959131103e-05	5.17779244818971e-05	0.000222782428112796
"134"	"Agaricia lamarcki"	"4"	"Marinilabiliaceae"	3	0.000221287895552113	0.000383281878196255	0.000221287895552113	0.000952124967857814
"135"	"Agaricia lamarcki"	"4"	"Prolixibacteraceae"	3	0.000392946864852009	0.000388416600953478	0.00022425242911821	0.000964880326298414
"136"	"Agaricia lamarcki"	"4"	"Mollicutes_RF39"	3	0	0	0	0
"137"	"Agaricia lamarcki"	"4"	"Bacteroidales"	3	0	0	0	0
"138"	"Agaricia lamarcki"	"4"	"Desulfovibrionaceae"	3	0.0028034408241564	0.00116771836101414	0.000674182510069184	0.00290077321729852
"139"	"Agaricia lamarcki"	"4"	"MSBL8"	3	0	0	0	0
"140"	"Agaricia lamarcki"	"4"	"Francisellaceae"	3	0.00163700746116343	0.000554813782116661	0.000320321886455169	0.00137823383915483
"141"	"Agaricia lamarcki"	"4"	"Family_XIII"	3	0	0	0	0
"142"	"Agaricia lamarcki"	"4"	"Spirochaetaceae"	3	0.000359772933005189	0.000465233565856592	0.000268602724483353	0.00115570424571644
"143"	"Agaricia lamarcki"	"4"	"Clostridiaceae"	3	0	0	0	0
"144"	"Agaricia lamarcki"	"4"	"Clostridiales"	3	0	0	0	0
"145"	"Agaricia lamarcki"	"4"	"Desulfobacteraceae"	3	0.00560541488246337	0.00128594237562385	0.000742439176728777	0.00319445795042502
"146"	"Agaricia lamarcki"	"4"	"Clostridiaceae_4"	3	0	0	0	0
"147"	"Agaricia lamarcki"	"4"	"Lachnospiraceae"	3	6.47224056023714e-05	0.000112102494891388	6.47224056023714e-05	0.000278478035140995
"148"	"Agaricia lamarcki"	"4"	"Firmicutes"	3	0	0	0	0
"149"	"Agaricia lamarcki"	"4"	"Midichloriaceae"	3	0.0199273861684905	0.00954852034966864	0.00551284079424381	0.0237198394920273
"150"	"Agaricia lamarcki"	"4"	"Peptostreptococcaceae"	3	0.000155333773445691	0.000269045987739331	0.000155333773445691	0.000668347284338389
"151"	"Agaricia lamarcki"	"4"	"Bacteroidetes_BD2-2"	3	0.000666366773068838	9.40879027778416e-05	5.43216759962742e-05	0.000233727307509935
"152"	"Agaricia lamarcki"	"4"	"Fusobacteriaceae"	3	0.000914958508740551	0.000646162401609735	0.000373062036509595	0.0016051563897539
"153"	"Agaricia lamarcki"	"4"	"Izimaplasmataceae"	3	0	0	0	0
"154"	"Agaricia lamarcki"	"4"	"Desulfobulbaceae"	3	0.00106072704094687	0.00122909074855971	0.000709615874539428	0.00305323067966062
"155"	"Agaricia lamarcki"	"4"	"OPB56"	3	5.17779244818971e-05	8.96819959131103e-05	5.17779244818971e-05	0.000222782428112796
"156"	"Agaricia lamarcki"	"4"	"Defluviitaleaceae"	3	0	0	0	0
"157"	"Agaricia lamarcki"	"4"	"Melioribacteraceae"	3	0	0	0	0
"158"	"Agaricia lamarcki"	"4"	"P.palmC41"	3	0.000249128985229132	0.00028067528723197	0.000162047952638253	0.000697236065769293
"159"	"Agaricia lamarcki"	"4"	"Vibrionaceae"	3	0.0534597747755462	0.0137297309851879	0.00792686388019938	0.0341065425124923
"160"	"Agaricia lamarcki"	"4"	"Colwelliaceae"	3	0.00865353728800883	0.00499126442860428	0.00288170786145129	0.0123989881964139
"161"	"Agaricia lamarcki"	"5"	"Family_XII"	3	0.00857942441064335	0.0103972084790526	0.00600283111420168	0.0258280976797449
"162"	"Agaricia lamarcki"	"5"	"JTB215"	3	0	0	0	0
"163"	"Agaricia lamarcki"	"5"	"Marinobacteraceae"	3	0	0	0	0
"164"	"Agaricia lamarcki"	"5"	"Pseudomonadaceae"	3	0	0	0	0
"165"	"Agaricia lamarcki"	"5"	"Halomonadaceae"	3	0.00102818571324186	0.00139469735485057	0.000805228893261035	0.00346462029566273
"166"	"Agaricia lamarcki"	"5"	"Acholeplasmataceae"	3	0	0	0	0
"167"	"Agaricia lamarcki"	"5"	"Shewanellaceae"	3	0.00605805161942547	0.00765244749101266	0.00441814261889563	0.0190097333996137
"168"	"Agaricia lamarcki"	"5"	"Nitrincolaceae"	3	0.0462778666540796	0.0688865204879448	0.0397716511472516	0.171123603375366
"169"	"Agaricia lamarcki"	"5"	"Rhodospirillales"	3	0.000136740115643069	0.00023684082772664	0.000136740115643069	0.000588345231837909
"170"	"Agaricia lamarcki"	"5"	"Arcobacteraceae"	3	0.0897791091444506	0.0907488535850821	0.0523938750459971	0.225432649488812
"171"	"Agaricia lamarcki"	"5"	"Marinifilaceae"	3	0.00154638557447832	0.0019243744201848	0.00111103808951532	0.00478041106870873
"172"	"Agaricia lamarcki"	"5"	"Clostridiaceae_1"	3	0.000220304872838011	0.000208337916388467	0.000120283952109287	0.000517540074888077
"173"	"Agaricia lamarcki"	"5"	"Izimaplasmatales"	3	0	0	0	0
"174"	"Agaricia lamarcki"	"5"	"Marinilabiliaceae"	3	0.00231445906723192	0.00356177229746918	0.00205639019473598	0.0088479328848108
"175"	"Agaricia lamarcki"	"5"	"Prolixibacteraceae"	3	0.00071869688515052	0.000831008650399681	0.000479783068007163	0.00206433992724859
"176"	"Agaricia lamarcki"	"5"	"Mollicutes_RF39"	3	0	0	0	0
"177"	"Agaricia lamarcki"	"5"	"Bacteroidales"	3	0.000436979506579144	0.000610972626454591	0.000352745210351051	0.001517740142223
"178"	"Agaricia lamarcki"	"5"	"Desulfovibrionaceae"	3	0.00972869969025469	0.00756918004484794	0.0043700681364377	0.0188028855964348
"179"	"Agaricia lamarcki"	"5"	"MSBL8"	3	4.93534695489093e-05	8.54827167885143e-05	4.93534695489093e-05	0.000212350840477221
"180"	"Agaricia lamarcki"	"5"	"Francisellaceae"	3	0.000319750555116627	0.000395378173871638	0.000228271695116493	0.000982173832117515
"181"	"Agaricia lamarcki"	"5"	"Family_XIII"	3	0	0	0	0
"182"	"Agaricia lamarcki"	"5"	"Spirochaetaceae"	3	0.00110114234242001	0.000580928910045774	0.000335399462594964	0.00144310741329072
"183"	"Agaricia lamarcki"	"5"	"Clostridiaceae"	3	0	0	0	0
"184"	"Agaricia lamarcki"	"5"	"Clostridiales"	3	0	0	0	0
"185"	"Agaricia lamarcki"	"5"	"Desulfobacteraceae"	3	0.00738897265183982	0.00164455773676788	0.000949485852020815	0.00408530789305585
"186"	"Agaricia lamarcki"	"5"	"Clostridiaceae_4"	3	0	0	0	0
"187"	"Agaricia lamarcki"	"5"	"Lachnospiraceae"	3	0.000195343022347242	0.000338344039609485	0.000195343022347242	0.00084049318833987
"188"	"Agaricia lamarcki"	"5"	"Firmicutes"	3	0	0	0	0
"189"	"Agaricia lamarcki"	"5"	"Midichloriaceae"	3	0.0032254905107081	0.00091214971951824	0.000526629886105097	0.00226590551701775
"190"	"Agaricia lamarcki"	"5"	"Peptostreptococcaceae"	3	0	0	0	0
"191"	"Agaricia lamarcki"	"5"	"Bacteroidetes_BD2-2"	3	0.000394827756391274	0.000683861734308115	0.000394827756391274	0.00169880672381777
"192"	"Agaricia lamarcki"	"5"	"Fusobacteriaceae"	3	0.0072520775703582	0.0104340470681163	0.00602409988351418	0.0259196098080857
"193"	"Agaricia lamarcki"	"5"	"Izimaplasmataceae"	3	0	0	0	0
"194"	"Agaricia lamarcki"	"5"	"Desulfobulbaceae"	3	0.00919771075732706	0.00843484972035386	0.00486986275662034	0.0209533282832778
"195"	"Agaricia lamarcki"	"5"	"OPB56"	3	0.000878821932426569	0.00132435438646227	0.000764616361526453	0.0032898786751329
"196"	"Agaricia lamarcki"	"5"	"Defluviitaleaceae"	3	0.000493534695489093	0.000854827167885143	0.000493534695489093	0.00212350840477221
"197"	"Agaricia lamarcki"	"5"	"Melioribacteraceae"	3	0.000197413878195637	0.000341930867154057	0.000197413878195637	0.000849403361908886
"198"	"Agaricia lamarcki"	"5"	"P.palmC41"	3	0.00166053138022241	0.00262645605857906	0.00151638511243534	0.00652447854337138
"199"	"Agaricia lamarcki"	"5"	"Vibrionaceae"	3	0.094745695405696	0.0558460907553308	0.0322427555307785	0.138729380099149
"200"	"Agaricia lamarcki"	"5"	"Colwelliaceae"	3	0.0332080953597393	0.0203448195075168	0.0117460870192792	0.0505393333773763
"201"	"Agaricia lamarcki"	"8"	"Family_XII"	3	0.00145048544909256	0.000889382951998193	0.000513485486748821	0.00220934973124654
"202"	"Agaricia lamarcki"	"8"	"JTB215"	3	0	0	0	0
"203"	"Agaricia lamarcki"	"8"	"Marinobacteraceae"	3	0	0	0	0
"204"	"Agaricia lamarcki"	"8"	"Pseudomonadaceae"	3	0	0	0	0
"205"	"Agaricia lamarcki"	"8"	"Halomonadaceae"	3	0.00252950710616242	0.00188796441192717	0.00109001676144659	0.00468996359411082
"206"	"Agaricia lamarcki"	"8"	"Acholeplasmataceae"	3	0.000334926811440096	0.000184765867529302	0.000106674623355097	0.000458983859373806
"207"	"Agaricia lamarcki"	"8"	"Shewanellaceae"	3	0.00104843344069099	0.000496490116726518	0.000286648702542044	0.00123334982247167
"208"	"Agaricia lamarcki"	"8"	"Nitrincolaceae"	3	0.00903039921105168	0.00492076108874587	0.00284100273920526	0.0122238481910672
"209"	"Agaricia lamarcki"	"8"	"Rhodospirillales"	3	0.00121834855267613	0.00178554727145573	0.00103088619782577	0.00443554531313609
